created_at,val_loss
2020-03-18 17:54:11.202512,
2020-03-18 17:54:11.260711,
2020-03-18 17:54:11.323144,
2020-03-18 17:54:11.383931,
2020-03-18 17:54:11.453530,
2020-03-18 17:54:11.512490,
2020-03-18 17:54:11.572629,
2020-03-18 17:54:11.633201,
2020-03-18 17:54:11.697018,
2020-03-18 17:54:11.772786,
2020-03-18 17:54:11.850477,
2020-03-18 17:54:11.915344,
2020-03-18 17:54:11.975338,
2020-03-18 17:54:12.036533,
2020-03-18 17:54:12.100428,
2020-03-18 17:54:12.161821,
2020-03-18 17:54:12.226107,
2020-03-18 17:54:12.288658,
2020-03-18 17:54:12.350531,
2020-03-18 17:54:12.412257,
2020-03-18 17:54:12.481386,
2020-03-18 17:54:12.542943,
2020-03-18 17:54:12.606012,
2020-03-18 17:54:12.667317,
2020-03-18 17:54:12.733222,
2020-03-18 17:54:12.793657,
2020-03-18 17:54:12.859586,
2020-03-18 17:54:12.919394,
2020-03-18 17:54:12.978476,
2020-03-18 17:54:13.038977,
2020-03-18 17:54:13.100565,
2020-03-18 17:54:13.161637,
2020-03-18 17:54:13.223922,
2020-03-18 17:54:13.285396,
2020-03-18 17:54:13.348439,
2020-03-18 17:54:13.410859,
2020-03-18 17:54:13.476547,
2020-03-18 17:54:13.535415,
2020-03-18 17:54:13.597038,
2020-03-18 17:54:13.659978,
2020-03-18 17:54:13.721312,
2020-03-18 17:54:13.784115,
2020-03-18 17:54:13.846373,
2020-03-18 17:54:13.908054,
2020-03-18 17:54:13.973363,
2020-03-18 17:54:14.033945,
2020-03-18 17:54:14.094547,
2020-03-18 17:54:14.156831,
2020-03-18 17:54:14.218099,
2020-03-18 17:54:14.281335,
2020-03-18 17:54:14.343579,
2020-03-18 17:54:14.406145,
2020-03-18 17:54:14.471655,
2020-03-18 17:54:14.541062,
2020-03-18 17:54:14.612517,
2020-03-18 17:54:14.680195,
2020-03-18 17:54:14.743847,
2020-03-18 17:54:14.808746,
2020-03-18 17:54:14.884048,
2020-03-18 17:54:14.955634,
2020-03-18 17:54:15.022202,
2020-03-18 17:54:15.089117,
2020-03-18 17:54:15.154232,
2020-03-18 17:54:15.237317,
2020-03-18 17:54:15.323697,
2020-03-18 17:54:15.396675,
2020-03-18 17:54:15.460639,
2020-03-18 17:54:15.523197,
2020-03-18 17:54:15.605793,
2020-03-18 17:54:15.681141,
2020-03-18 17:54:15.747121,
2020-03-18 17:54:15.814177,
2020-03-18 17:54:15.881223,
2020-03-18 17:54:15.947415,
2020-03-18 17:54:16.015737,
2020-03-18 17:54:16.080940,
2020-03-18 17:54:16.148171,
2020-03-18 17:54:16.213839,
2020-03-18 17:54:16.279328,
2020-03-18 17:54:16.342779,
2020-03-18 17:54:16.407546,
2020-03-18 17:54:16.469578,
2020-03-18 17:54:16.535493,
2020-03-18 17:54:16.602325,
2020-03-18 17:54:16.670540,
2020-03-18 17:54:16.733807,
2020-03-18 17:54:16.799332,
2020-03-18 17:54:16.861601,
2020-03-18 17:54:16.927000,
2020-03-18 17:54:16.991115,
2020-03-18 17:54:17.058225,
2020-03-18 17:54:17.123096,
2020-03-18 17:54:17.184993,
2020-03-18 17:54:17.246750,
2020-03-18 17:54:17.312965,
2020-03-18 17:54:17.379422,
2020-03-18 17:54:17.444055,
2020-03-18 17:54:17.510205,
2020-03-18 17:54:17.576424,
2020-03-18 17:54:17.639892,
2020-03-18 17:54:17.702592,
2020-03-18 17:54:17.766259,
2020-03-18 17:54:17.827727,
2020-03-18 17:54:17.887255,
2020-03-18 17:54:17.952064,
2020-03-18 17:54:18.019595,
2020-03-18 17:54:18.082441,
2020-03-18 17:54:18.145299,
2020-03-18 17:54:18.207677,
2020-03-18 17:54:18.272694,
2020-03-18 17:54:18.338024,
2020-03-18 17:54:18.405582,
2020-03-18 17:54:18.475777,
2020-03-18 17:54:18.545538,
2020-03-18 17:54:18.615543,
2020-03-18 17:54:18.682441,
2020-03-18 17:54:18.751735,
2020-03-18 17:54:18.816696,
2020-03-18 17:54:18.877160,
2020-03-18 17:54:18.937378,
2020-03-18 17:54:18.999419,
2020-03-18 17:54:19.064303,
2020-03-18 17:54:19.127365,
2020-03-18 17:54:19.192406,
2020-03-18 17:54:19.260770,
2020-03-18 17:54:19.327649,
2020-03-18 17:54:19.391104,
2020-03-18 17:54:19.452549,
2020-03-18 17:54:19.518307,
2020-03-18 17:54:19.584236,
2020-03-18 17:54:19.648725,
2020-03-18 17:54:19.714129,
2020-03-18 17:54:19.777162,
2020-03-18 17:54:19.841541,
2020-03-18 17:54:19.907610,
2020-03-18 17:54:19.974967,
2020-03-18 17:54:20.038490,
2020-03-18 17:54:20.099922,
2020-03-18 17:54:20.162714,
2020-03-18 17:54:20.228509,
2020-03-18 17:54:20.296435,
2020-03-18 17:54:20.366946,
2020-03-18 17:54:20.437509,
2020-03-18 17:54:20.501501,
2020-03-18 17:54:20.568768,
2020-03-18 17:54:20.636147,
2020-03-18 17:54:20.701792,
2020-03-18 17:54:20.765742,
2020-03-18 17:54:20.831506,
2020-03-18 17:54:20.894990,
2020-03-18 17:54:20.958345,
2020-03-18 17:54:21.019760,
2020-03-18 17:54:21.084523,
2020-03-18 17:54:21.149783,
2020-03-18 17:54:21.214885,
2020-03-18 17:54:21.278793,
2020-03-18 17:54:21.891790,0.4672210216522217
2020-03-18 17:54:21.902483,
2020-03-18 17:54:21.967644,
2020-03-18 17:54:22.032645,
2020-03-18 17:54:22.096486,
2020-03-18 17:54:22.158230,
2020-03-18 17:54:22.217380,
2020-03-18 17:54:22.278375,
2020-03-18 17:54:22.345368,
2020-03-18 17:54:22.409365,
2020-03-18 17:54:22.471195,
2020-03-18 17:54:22.535606,
2020-03-18 17:54:22.601413,
2020-03-18 17:54:22.666893,
2020-03-18 17:54:22.727533,
2020-03-18 17:54:22.787849,
2020-03-18 17:54:22.849814,
2020-03-18 17:54:22.912571,
2020-03-18 17:54:22.973171,
2020-03-18 17:54:23.033580,
2020-03-18 17:54:23.095584,
2020-03-18 17:54:23.161116,
2020-03-18 17:54:23.224755,
2020-03-18 17:54:23.291236,
2020-03-18 17:54:23.354213,
2020-03-18 17:54:23.418287,
2020-03-18 17:54:23.481375,
2020-03-18 17:54:23.545089,
2020-03-18 17:54:23.607733,
2020-03-18 17:54:23.673959,
2020-03-18 17:54:23.737957,
2020-03-18 17:54:23.811193,
2020-03-18 17:54:23.877027,
2020-03-18 17:54:23.942995,
2020-03-18 17:54:24.007390,
2020-03-18 17:54:24.068138,
2020-03-18 17:54:24.130719,
2020-03-18 17:54:24.194417,
2020-03-18 17:54:24.255194,
2020-03-18 17:54:24.319000,
2020-03-18 17:54:24.382247,
2020-03-18 17:54:24.459254,
2020-03-18 17:54:24.525717,
2020-03-18 17:54:24.589296,
2020-03-18 17:54:24.651566,
2020-03-18 17:54:24.716246,
2020-03-18 17:54:24.780286,
2020-03-18 17:54:24.843634,
2020-03-18 17:54:24.907891,
2020-03-18 17:54:24.969735,
2020-03-18 17:54:25.035905,
2020-03-18 17:54:25.108730,
2020-03-18 17:54:25.171929,
2020-03-18 17:54:25.236390,
2020-03-18 17:54:25.301168,
2020-03-18 17:54:25.364255,
2020-03-18 17:54:25.427579,
2020-03-18 17:54:25.494553,
2020-03-18 17:54:25.560686,
2020-03-18 17:54:25.623235,
2020-03-18 17:54:25.684280,
2020-03-18 17:54:25.747093,
2020-03-18 17:54:25.817624,
2020-03-18 17:54:25.879212,
2020-03-18 17:54:25.941132,
2020-03-18 17:54:26.009353,
2020-03-18 17:54:26.073281,
2020-03-18 17:54:26.136920,
2020-03-18 17:54:26.199626,
2020-03-18 17:54:26.262532,
2020-03-18 17:54:26.329251,
2020-03-18 17:54:26.395675,
2020-03-18 17:54:26.459495,
2020-03-18 17:54:26.524564,
2020-03-18 17:54:26.587871,
2020-03-18 17:54:26.652765,
2020-03-18 17:54:26.714416,
2020-03-18 17:54:26.777257,
2020-03-18 17:54:26.841048,
2020-03-18 17:54:26.910100,
2020-03-18 17:54:26.979679,
2020-03-18 17:54:27.048197,
2020-03-18 17:54:27.111388,
2020-03-18 17:54:27.170852,
2020-03-18 17:54:27.228790,
2020-03-18 17:54:27.292687,
2020-03-18 17:54:27.357938,
2020-03-18 17:54:27.425913,
2020-03-18 17:54:27.488314,
2020-03-18 17:54:27.551179,
2020-03-18 17:54:27.614568,
2020-03-18 17:54:27.683236,
2020-03-18 17:54:27.747378,
2020-03-18 17:54:27.813033,
2020-03-18 17:54:27.875585,
2020-03-18 17:54:27.937518,
2020-03-18 17:54:28.001416,
2020-03-18 17:54:28.065424,
2020-03-18 17:54:28.129144,
2020-03-18 17:54:28.192283,
2020-03-18 17:54:28.257942,
2020-03-18 17:54:28.325610,
2020-03-18 17:54:28.390562,
2020-03-18 17:54:28.453793,
2020-03-18 17:54:28.517663,
2020-03-18 17:54:28.577509,
2020-03-18 17:54:28.637976,
2020-03-18 17:54:28.697075,
2020-03-18 17:54:28.761552,
2020-03-18 17:54:28.825747,
2020-03-18 17:54:28.889389,
2020-03-18 17:54:28.956838,
2020-03-18 17:54:29.027869,
2020-03-18 17:54:29.086759,
2020-03-18 17:54:29.146414,
2020-03-18 17:54:29.204730,
2020-03-18 17:54:29.266178,
2020-03-18 17:54:29.329697,
2020-03-18 17:54:29.394597,
2020-03-18 17:54:29.459853,
